geo,name,time,Life expectancy 
world,World,2014,72.42844865
world,World,2015,72.67599905
world,World,2016,72.93848713
world,World,2017,73.20822701
world,World,2018,73.40736113
world,World,2019,73.60753697
world,World,2020,72.77940857
world,World,2021,71.89814941
world,World,2022,72.55876099
world,World,2023,74.0550394
world,World,2024,74.36405883
world,World,2025,74.52363411
world,World,2026,74.67838232
world,World,2027,74.83263173
world,World,2028,74.98283852
world,World,2029,75.13253894
world,World,2030,75.28188748
world,World,2031,75.42857927
world,World,2032,75.57363451
world,World,2033,75.7179071
world,World,2034,75.86004159
world,World,2035,75.99990817
world,World,2036,76.13959577
world,World,2037,76.27744433
world,World,2038,76.41445714
world,World,2039,76.54949348
world,World,2040,76.68334626
world,World,2041,76.81826047
world,World,2042,76.95067171
world,World,2043,77.08090655
world,World,2044,77.21105
world,World,2045,77.34117911
world,World,2046,77.47108786
world,World,2047,77.59593047
world,World,2048,77.72134229
world,World,2049,77.8462312
world,World,2050,77.96865971
world,World,2051,78.08972861
world,World,2052,78.21127241
world,World,2053,78.33181612
world,World,2054,78.45136107
world,World,2055,78.56928735
world,World,2056,78.68483209
world,World,2057,78.80323112
world,World,2058,78.91929679
world,World,2059,79.03434973
world,World,2060,79.14995922
world,World,2061,79.26329469
world,World,2062,79.37749465
world,World,2063,79.4919702
world,World,2064,79.60405632
world,World,2065,79.71844969
world,World,2066,79.83131127
world,World,2067,79.94312593
world,World,2068,80.05529374
world,World,2069,80.16739899
world,World,2070,80.2783837
world,World,2071,80.39244389
world,World,2072,80.50294069
world,World,2073,80.61561259
world,World,2074,80.72703604
world,World,2075,80.83872269
world,World,2076,80.95058597
world,World,2077,81.06277779
world,World,2078,81.17414563
world,World,2079,81.28402047
world,World,2080,81.39473665
world,World,2081,81.50478659
world,World,2082,81.61534869
world,World,2083,81.72765949
world,World,2084,81.8379175
world,World,2085,81.94869916
world,World,2086,82.05989175
world,World,2087,82.16978046
world,World,2088,82.27897709
world,World,2089,82.3904516
world,World,2090,82.50078501
world,World,2091,82.61156104
world,World,2092,82.72188966
world,World,2093,82.83403904
world,World,2094,82.94659651
world,World,2095,83.05887134
world,World,2096,83.17047982
world,World,2097,83.280416
world,World,2098,83.39307992
world,World,2099,83.50637838
world,World,2100,83.61751129
